no,indikator,satuan,program_renstra,penanggung_jawab,target_tw1,target_tw2,target_tw3,target_tw4,capaian_tw1,capaian_tw2,capaian_tw3,rasio_tw3,rasio_thd_target_tahunan,status_tw3,status_thd_tahunan,sumber_data,tag,pilar,arah
13,Jumlah luaran dosen yang diterapkan oleh masyarakat/industri/pemerintah atau berhasil mendapat rekognisi internasional,Judul,Pengembangan riset translasional meliputi riset flagship dan riset unggulan kompetitif,Direktorat Penelitian,73,218,435,725,534.0,686.0,820.0,1.8851,1.131,tercapai,tercapai,SIMASTER KINERJA P2M,QS; THE; IKU,Kontribusi,naik
14,Jumlah luaran penelitian multidisiplin yang melibatkan peneliti lebih dari satu fakultas/departemen/subjek/bidang ilmu yang berbeda,Judul,Pengembangan riset translasional meliputi riset flagship dan riset unggulan kompetitif,Direktorat Penelitian,10,30,60,100,146.0,190.0,225.0,3.75,2.25,tercapai,tercapai,SIMASTER KINERJA P2M,IKU,Reputasi,naik
15,Jumlah sitasi dosen,Sitasi,Pengembangan riset translasional meliputi riset flagship dan riset unggulan kompetitif,Direktorat Penelitian,500,1500,3000,5000,1610.0,3255.0,3923.0,1.3077,0.7846,tercapai,tertinggal,SCIVAL,IKU; QS,Reputasi,naik
16,Jumlah publikasi dosen berindeks Scopus atau Web of Science (WoS),Judul,Pengembangan perpustakaan dosen,Perpustakaan dan Arsip,40,120,240,400,89.0,178.0,252.0,1.05,0.63,tercapai,tertinggal,SCOPUS,THE; IKU; QS,Reputasi,naik
17,Jumlah hasil riset dan inovasi yang berorientasi pada penyelesaian masalah di masyarakat,Judul,Pengembangan sumber daya riset serta penelitian dan pengembangan yang mudah dimanfaatkan oleh masyarakat,Direktorat Pengembangan Usaha dan Inkubasi; Direktorat Penelitian,5,15,30,50,12.0,12.0,20.0,0.6667,0.4,tertinggal,meleset,SIMASTER KINERJA P2M,SDGs; IKU,Kontribusi,naik
18,Jumlah mitra penelitian internasional yang telah menghasilkan minimal 3 publikasi dalam 5 tahun terakhir,mitra,Peningkatan kebermanfaatan dan perluasan jejaring penelitian internasional,Satuan Penjaminan Mutu dan Reputasi Universitas; Direktorat Penelitian,5,15,30,50,16.0,17.0,23.0,0.7667,0.46,tertinggal,meleset,SCIVAL,IKU; QS,Reputasi,naik
19a,"Jumlah luaran tridharma, kerja sama dan kemitraan serta inisiatif institusional yang mendukung SDGs 1, 4, 17, 8, dan 9",Judul,Peningkatan penelitian yang mengadopsi prinsip-prinsip SDGs,Satuan Penjaminan Mutu dan Reputasi Universitas; Direktorat Penelitian,20,60,120,200,33.0,33.0,48.0,0.4,0.24,meleset,meleset,KOMPILASI DATA SIMASTER,IKU,Kontribusi,naik
19b,Jumlah pemberitaan kegiatan SDGs,Tagging,Peningkatan penelitian yang mengadopsi prinsip-prinsip SDGs,Satuan Penjaminan Mutu dan Reputasi Universitas; Direktorat Penelitian,100,300,600,1000,163.0,301.0,356.0,0.5933,0.356,tertinggal,meleset,Website Fakultas,SDGs; IKU,Kontribusi,naik
20,Jumlah luaran pengabdian masyarakat yang diterapkan kepada masyarakat,Judul,Pengembangan pengabdian kepada masyarakat yang berhasil mendapat rekognisi internasional atau diterapkan oleh masyarakat,Direktorat Pengabdian kepada Masyarakat,60,180,360,600,25.0,261.0,378.0,1.05,0.63,tercapai,tertinggal,STAFF SIMASTER PENGABDIAN,,Kontribusi,naik
21a,"Jumlah dosen yang bekerja sebagai praktisi (konsultan, tenaga ahli independen, narasumber) di dunia industri dalam 5 tahun terakhir, < 6 bulan",Dosen,Peningkatan kualitas dosen,Direktorat Sumber Daya Manusia,18,54,108,179,175.0,175.0,175.0,1.6204,0.9777,tercapai,mendekati,SISTER,,Kesejahteraan,naik
21b,"Jumlah dosen yang bekerja sebagai praktisi (konsultan, tenaga ahli independen, narasumber) di dunia industri dalam 5 tahun terakhir, >= 6 bulan",Dosen,Peningkatan kualitas dosen,Direktorat Sumber Daya Manusia,10,30,60,100,186.0,186.0,188.0,3.1333,1.88,tercapai,tercapai,SISTER,,Kesejahteraan,naik
22,Jumlah dosen yang berkegiatan tridharma di kampus lain dalam 5 (lima) tahun terakhir,Dosen,Peningkatan kualitas dosen,Direktorat Sumber Daya Manusia,9,27,54,90,167.0,170.0,172.0,3.1852,1.9111,tercapai,tercapai,SISTER,IKU,Kesejahteraan,naik
23,Jumlah dosen yang mendapatkan rekognisi internasional,Dosen,Peningkatan kualitas dosen,Direktorat Sumber Daya Manusia,17,49,98,162,91.0,91.0,220.0,2.2449,1.358,tercapai,tercapai,SISTER,,Kesejahteraan,naik
24,Jumlah dosen tetap berkualifikasi akademik S3,Dosen,Percepatan pertumbuhan dosen berkualifikasi S3,Direktorat Sumber Daya Manusia,156,157,159,160,160.0,160.0,160.0,1.0063,1.0,tercapai,tercapai,STAFF SIMASTER [FS.26.24],THE,Kesejahteraan,naik
25,"Jumlah dosen memiliki sertifikat kompetensi/profesi/keterampilan yang diakui oleh dunia usaha, dunia industri, atau masyarakat",Dosen,Pengembangan kompetensi dosen,Direktorat Sumber Daya Manusia,16,48,96,160,11.0,11.0,116.0,1.2083,0.725,tercapai,tertinggal,SISTER,,Kesejahteraan,naik
26,"Jumlah dosen yang berasal dari kalangan praktisi profesional, dunia usaha, atau dunia industri",Dosen,Pengembangan kompetensi dosen,Direktorat Sumber Daya Manusia,4,11,22,36,25.0,25.0,38.0,1.7273,1.0556,tercapai,tercapai,STUDENT SIMASTER,IKU; THE,Kesejahteraan,naik
27,Jumlah dosen tetap tenaga pengajar,Dosen,Pengembangan kompetensi dosen,Direktorat Sumber Daya Manusia,24,22,20,18,16.0,16.0,16.0,0.8,0.8889,tercapai,tercapai,STAFF SIMASTER [FS.26.27],,Kesejahteraan,turun
28,Jumlah dosen/peneliti internasional yang melaksanakan kegiatan pendidikan atau penelitian,Dosen,Peningkatan dosen/peneliti internasional,Satuan Penjaminan Mutu dan Reputasi Universitas,16,48,96,160,111.0,111.0,213.0,2.2188,1.3313,tercapai,tercapai,STAFF SIMASTER [FS.25.27],QS; THE,Reputasi,naik
29,Jumlah dosen luar negeri yang berpotensi menjadi responden academic survey,Dosen,Peningkatan dosen/peneliti internasional,Satuan Penjaminan Mutu dan Reputasi Universitas,36,108,216,360,111.0,111.0,213.0,0.9861,0.5917,mendekati,tertinggal,STAFF SIMASTER [FS.25.27],,Reputasi,naik
30,Jumlah Guru Besar,Dosen,Percepatan Guru Besar yang relevan dengan bidang keilmuan,Direktorat Sumber Daya Manusia,53,54,55,57,54.0,54.0,54.0,0.9818,0.9474,mendekati,mendekati,STAFF SIMASTER [FS.25.29],THE,Kesejahteraan,naik
31,Jumlah fasilitas disabilitas yang memenuhi persyaratan kemudahan bangunan gedung,Unit,"Penguatan pembangunan infrastruktur UGM yang inklusif, berkelanjutan serta berbasis green environment",Satuan Penjaminan Mutu dan Reputasi Universitas; Direktorat Aset,17,18,19,20,23.0,23.0,23.0,1.2105,1.15,tercapai,tercapai,Kompilasi Data,GREEN METRIC,Kesejahteraan,naik
32,Persentase kenaikan nilai hijau bangunan,Persen,"Penguatan pembangunan infrastruktur UGM yang inklusif, berkelanjutan serta berbasis green environment",Satuan Penjaminan Mutu dan Reputasi Universitas; Direktorat Aset,1,2,5,10,13.1,25.55,0.0,0.0,0.0,meleset,meleset,FINANCE SILAS [FS.25],,Kesejahteraan,naik
