no,label_sheet,target_tahunan,dike,df,dm,dk,fakultas,target_tw1,capaian_tw1,target_tw2,capaian_tw2,target_tw3,capaian_tw3,target_tw4,capaian_tw4,status_sistem,indikator,satuan,program_renstra,penanggung_jawab,sumber_data,tag,arah,pilar,capaian_tw1_cacah,capaian_tw2_cacah,capaian_tw3_cacah,capaian_tw4_cacah,kuartal_dinilai,capaian_dinilai,target_dinilai,rasio_kuartal,status_kuartal,rasio_thd_target_tahunan,status_thd_tahunan,unit_mismatch,anomali
6,Jumlah pengguna lulusan (alumni semua jenjang sebagai pengguna lulusan) yang berpotensi menjadi responden UGM untuk employer survey,360.0,0.0,0.0,0.0,0.0,100.0,36.0,27.0,108.0,100.0,216.0,100.0,360.0,0.0,belum,Jumlah pengguna lulusan (alumni semua jenjang sebagai pengguna lulusan) yang berpotensi menjadi responden UGM untuk employer survey,Pengguna Lulusan,Pengembangan personalisasi pendidikan sebagai turunan program Merdeka Belajar Kampus Merdeka,Direktorat Pendidikan dan Pengajaran,TRACER STUDY [FS.26.6],QS,naik,Employability,,,,,tw3,100.0,216.0,0.463,meleset,0.2778,meleset,False,
7,Jumlah muatan pembelajaran secara online yang dapat diakses masyarakat luas,88.0,38.0,0.0,31.0,4.0,0.0,9.0,73.0,27.0,73.0,53.0,73.0,88.0,0.0,tercapai,Jumlah muatan pembelajaran secara online yang dapat diakses masyarakat luas,Judul,Perluasan akses learning management system ke masyarakat (Universitas Tanpa Batas),Direktorat Kajian dan Inovasi Akademik,MOOC [FS.26],SDGs,naik,Kontribusi,,,,,tw3,73.0,53.0,1.3774,tercapai,0.8295,tertinggal,False,
8a,"a. Jumlah mahasiswa sarjana dan sarjana terapan yang menjalankan kegiatan pembelajaran di luar program studi minimal 10 (sepuluh) SKS dalam
satu semester",510.0,203.0,120.0,141.0,139.0,0.0,51.0,230.0,153.0,603.0,306.0,603.0,510.0,0.0,tercapai,Jumlah mahasiswa sarjana dan sarjana terapan yang menjalankan kegiatan pembelajaran di luar program studi minimal 10 (sepuluh) SKS,mahasiswa,Penguatan MBKM UGM,Direktorat Pendidikan dan Pengajaran,PORTAL SIMASTER MAHASISWA [FS.26.8a],IKU,naik,Employability,,,,,tw3,603.0,306.0,1.9706,tercapai,1.1824,tercapai,False,
8b1,b1. Persentase mahasiswa semua jenjang yang lulus tepat waktu (S1),61.0,69.0,21.0,41.0,19.0,0.0,7.0,,19.0,23.7342,37.0,,61.0,0.0,belum,Persentase mahasiswa semua jenjang yang lulus tepat waktu (S1),Persen,Penguatan MBKM UGM,Direktorat Pendidikan dan Pengajaran,STUDENT SIMASTER,IKU,naik,Employability,72.0,,150.0,,tw2,23.7342,19.0,1.2492,tercapai,0.3891,meleset,True,"capaian TW1, TW3 tercatat sebagai cacah orang tanpa penyebut; persentase tidak dihitung; penilaian memakai TW2 karena TW3 tidak dapat dinilai"
8b2,b2. Persentase mahasiswa semua jenjang yang lulus tepat waktu (S2) 4 semester,81.0,21.0,13.0,4.0,19.0,0.0,9.0,,25.0,30.8108,49.0,,81.0,0.0,belum,Persentase mahasiswa semua jenjang yang lulus tepat waktu (S2),Persen,Penguatan MBKM UGM,Direktorat Pendidikan dan Pengajaran,STUDENT SIMASTER,IKU,naik,Employability,28.0,,57.0,,tw2,30.8108,25.0,1.2324,tercapai,0.3804,meleset,True,"capaian TW1, TW3 tercatat sebagai cacah orang tanpa penyebut; persentase tidak dihitung; penilaian memakai TW2 karena TW3 tidak dapat dinilai"
8b3,b3. Persentase mahasiswa semua jenjang yang lulus tepat waktu (S3) 8 semester,54.0,13.0,10.0,0.0,12.0,0.0,6.0,,33.0,33.9806,33.0,,54.0,0.0,tercapai,Persentase mahasiswa semua jenjang yang lulus tepat waktu (S3),Persen,Penguatan MBKM UGM,Direktorat Pendidikan dan Pengajaran,STUDENT SIMASTER,IKU,naik,Employability,31.0,,35.0,,tw2,33.9806,33.0,1.0297,tercapai,0.6293,tertinggal,True,"capaian TW1, TW3 tercatat sebagai cacah orang tanpa penyebut; persentase tidak dihitung; penilaian memakai TW2 karena TW3 tidak dapat dinilai"
9,Jumlah mahasiswa berprestasi,500.0,68.0,24.0,42.0,34.0,0.0,50.0,55.0,150.0,168.0,300.0,168.0,500.0,0.0,belum,Jumlah mahasiswa berprestasi,mahasiswa,Penguatan Mahasiswa Berprestasi,Direktorat Kemahasiswaan,PORTAL SIMASTER MAHASISWA [FS.25.10-26.9],IKU,naik,Employability,,,,,tw3,168.0,300.0,0.56,tertinggal,0.336,meleset,False,
10,"Jumlah mahasiswa pascasarjana dari program fast track, RPL (Rekognisi Pembelajaran Lampau), dan PMDSU",41.0,9.0,6.0,2.0,27.0,0.0,5.0,44.0,13.0,44.0,25.0,44.0,41.0,0.0,tercapai,"Jumlah mahasiswa pascasarjana dari program fast track, RPL (Rekognisi Pembelajaran Lampau), dan PMDSU",mahasiswa,Penguatan fast track dan PMDSU,Direktorat Pendidikan dan Pengajaran,STUDENT SIMASTER,QS,naik,Employability,,,,,tw3,44.0,25.0,1.76,tercapai,1.0732,tercapai,False,
11,Jumlah publikasi mahasiswa doktoral dalam jurnal internasional,180.0,14.0,59.0,13.0,34.0,0.0,18.0,28.0,54.0,120.0,108.0,120.0,180.0,0.0,belum,Jumlah publikasi mahasiswa Doktoral dalam jurnal internasional,Judul,Peningkatan publikasi mahasiswa Doktoral dalam jurnal internasional,Direktorat Pendidikan dan Pengajaran; Direktorat Penelitian,STAFF ATAU PORTAL SIMASTER MAHASISWA [FS.25.12-26.11],QS; THE,naik,Reputasi,,,,,tw3,120.0,108.0,1.1111,tercapai,0.6667,tertinggal,False,
12,Jumlah hasil karya transdisiplin dosen dan mahasiswa yang telah diseminasi secara luas ke publik (dalam bentuk 3 minute thesis dan ala ted talks) dan kanal pengetahuan (vlog dosen/policy brief),50.0,21.0,7.0,3.0,0.0,18.0,5.0,15.0,15.0,49.0,30.0,49.0,50.0,0.0,tercapai,"Jumlah hasil karya transdisiplin dosen dan mahasiswa yang telah diseminasi secara luas ke publik (3 minute thesis, ala TED talks) atau kanal pengetahuan (vlog dosen/policy brief)",Judul,Penguatan forum transfer keilmuan lintas individu dan lintas disiplin secara terlembaga,Direktorat Kajian dan Inovasi Akademik,KANAL PENGETAHUAN,,naik,Kontribusi,,,,,tw3,49.0,30.0,1.6333,tercapai,0.98,mendekati,False,
13,"Jumlah luaran dosen yang diterapkan oleh masyarakat/industri/pemerintah atau berhasil
mendapat rekognisi internasional",725.0,315.0,90.0,58.0,161.0,0.0,73.0,477.0,218.0,624.0,435.0,624.0,725.0,0.0,tercapai,Jumlah luaran dosen yang diterapkan oleh masyarakat/industri/pemerintah atau berhasil mendapat rekognisi internasional,Judul,Pengembangan riset translasional meliputi riset flagship dan riset unggulan kompetitif,Direktorat Penelitian,SIMASTER KINERJA P2M,QS; THE; IKU,naik,Kontribusi,,,,,tw3,624.0,435.0,1.4345,tercapai,0.8607,mendekati,False,
14,Jumlah luaran penelitian multidisiplin yang melibatkan peneliti lebih dari satu fakultas/departemen/ bidang ilmu yang berbeda,100.0,0.0,0.0,0.0,0.0,169.0,10.0,57.0,30.0,169.0,60.0,169.0,100.0,0.0,tercapai,Jumlah luaran penelitian multidisiplin yang melibatkan peneliti lebih dari satu fakultas/departemen/subjek/bidang ilmu yang berbeda,Judul,Pengembangan riset translasional meliputi riset flagship dan riset unggulan kompetitif,Direktorat Penelitian,SIMASTER KINERJA P2M,IKU,naik,Reputasi,,,,,tw3,169.0,60.0,2.8167,tercapai,1.69,tercapai,False,
15,Jumlah sitasi dosen,5000.0,0.0,0.0,0.0,0.0,1929.0,500.0,2002.0,1500.0,1929.0,3000.0,1929.0,5000.0,0.0,tercapai,Jumlah sitasi dosen,Sitasi,Pengembangan riset translasional meliputi riset flagship dan riset unggulan kompetitif,Direktorat Penelitian,SCIVAL,IKU; QS,naik,Reputasi,,,,,tw3,1929.0,3000.0,0.643,tertinggal,0.3858,meleset,False,capaian triwulan tidak kumulatif
16,Jumlah publikasi dosen berindeks Scopus atau Web of Science (WoS),400.0,38.0,82.0,29.0,92.0,0.0,40.0,102.0,120.0,241.0,240.0,241.0,400.0,0.0,tercapai,Jumlah publikasi dosen berindeks Scopus atau Web of Science (WoS),Judul,Pengembangan perpustakaan dosen,Perpustakaan dan Arsip,SCOPUS,THE; IKU; QS,naik,Reputasi,,,,,tw3,241.0,240.0,1.0042,tercapai,0.6025,tertinggal,False,
17,Jumlah hasil riset dan inovasi yang berorientasi pada penyelesaian masalah di masyarakat,50.0,19.0,15.0,38.0,22.0,0.0,5.0,7.0,15.0,94.0,30.0,94.0,50.0,0.0,tercapai,Jumlah hasil riset dan inovasi yang berorientasi pada penyelesaian masalah di masyarakat,Judul,Pengembangan sumber daya riset serta penelitian dan pengembangan yang mudah dimanfaatkan oleh masyarakat,Direktorat Pengembangan Usaha dan Inkubasi; Direktorat Penelitian,SIMASTER KINERJA P2M,SDGs; IKU,naik,Kontribusi,,,,,tw3,94.0,30.0,3.1333,tercapai,1.88,tercapai,False,
18,Jumlah mitra penelitian internasional yang telah menghasilkan minimal 3 publikasi dalam 5 tahun terakhir,50.0,0.0,0.0,0.0,0.0,60.0,5.0,60.0,15.0,60.0,30.0,60.0,50.0,0.0,tercapai,Jumlah mitra penelitian internasional yang telah menghasilkan minimal 3 publikasi dalam 5 tahun terakhir,mitra,Peningkatan kebermanfaatan dan perluasan jejaring penelitian internasional,Satuan Penjaminan Mutu dan Reputasi Universitas; Direktorat Penelitian,SCIVAL,IKU; QS,naik,Reputasi,,,,,tw3,60.0,30.0,2.0,tercapai,1.2,tercapai,False,
19a,"a.    Jumlah luaran tridharma, kerjasama dan kemitraan serta inisiatif institusional yang mendukung SDGs 1 (tanpa kemiskinan), SDGs 4 (pendidikan berkualitas), SDGs 17 (kemitraan untuk mencapai tujuan), SDGs 8 (pekerjaan layak dan pertumbuhan ekonomi), dan SDGs 9 (industri, inovasi dan infrastuktur)",200.0,,,,,92.0,20.0,61.0,60.0,92.0,120.0,92.0,200.0,0.0,tercapai,"Jumlah luaran tridharma, kerja sama dan kemitraan serta inisiatif institusional yang mendukung SDGs 1, 4, 17, 8, dan 9",Judul,Peningkatan penelitian yang mengadopsi prinsip-prinsip SDGs,Satuan Penjaminan Mutu dan Reputasi Universitas; Direktorat Penelitian,KOMPILASI DATA SIMASTER,IKU,naik,Kontribusi,,,,,tw3,92.0,120.0,0.7667,tertinggal,0.46,meleset,False,
19b,b.   Jumlah pemberitaan kegiatan SDGs,1000.0,175.0,31.0,35.0,87.0,85.0,100.0,159.0,300.0,413.0,600.0,413.0,1000.0,0.0,belum,Jumlah pemberitaan kegiatan SDGs,Tagging,Peningkatan penelitian yang mengadopsi prinsip-prinsip SDGs,Satuan Penjaminan Mutu dan Reputasi Universitas; Direktorat Penelitian,Website Fakultas,SDGs; IKU,naik,Kontribusi,,,,,tw3,413.0,600.0,0.6883,tertinggal,0.413,meleset,False,
20,Jumlah luaran pengabdian masyarakat yang diterapkan kepada masyarakat,600.0,38.0,117.0,48.0,115.0,0.0,60.0,74.0,180.0,318.0,360.0,318.0,600.0,0.0,belum,Jumlah luaran pengabdian masyarakat yang diterapkan kepada masyarakat,Judul,Pengembangan pengabdian kepada masyarakat yang berhasil mendapat rekognisi internasional atau diterapkan oleh masyarakat,Direktorat Pengabdian kepada Masyarakat,STAFF SIMASTER PENGABDIAN,,naik,Kontribusi,,,,,tw3,318.0,360.0,0.8833,mendekati,0.53,tertinggal,False,
21a,"Jumlah dosen yang bekerja sebagai praktisi (konsultan, tenaga ahli independen, narasumber, dll) di dunia industri (perusahaan multinasional/teknologi global/startup, dll) dalam 5 (lima) tahun terakhir
a. < 6 bulan",179.0,52.0,48.0,50.0,42.0,0.0,18.0,192.0,54.0,192.0,108.0,192.0,179.0,0.0,belum,"Jumlah dosen yang bekerja sebagai praktisi (konsultan, tenaga ahli independen, narasumber) di dunia industri dalam 5 tahun terakhir, < 6 bulan",Dosen,Peningkatan kualitas dosen,Direktorat Sumber Daya Manusia,SISTER,,naik,Kesejahteraan,,,,,tw3,192.0,108.0,1.7778,tercapai,1.0726,tercapai,False,
21b,b. >= 6 bulan,100.0,51.0,48.0,50.0,42.0,0.0,10.0,191.0,30.0,191.0,60.0,191.0,100.0,0.0,tercapai,"Jumlah dosen yang bekerja sebagai praktisi (konsultan, tenaga ahli independen, narasumber) di dunia industri dalam 5 tahun terakhir, >= 6 bulan",Dosen,Peningkatan kualitas dosen,Direktorat Sumber Daya Manusia,SISTER,,naik,Kesejahteraan,,,,,tw3,191.0,60.0,3.1833,tercapai,1.91,tercapai,False,
22,Jumlah dosen yang berkegiatan tridharma di kampus lain dalam 5 (lima) tahun terakhir,90.0,51.0,45.0,43.0,37.0,0.0,9.0,162.0,27.0,176.0,54.0,176.0,90.0,0.0,tercapai,Jumlah dosen yang berkegiatan tridharma di kampus lain dalam 5 (lima) tahun terakhir,Dosen,Peningkatan kualitas dosen,Direktorat Sumber Daya Manusia,SISTER,IKU,naik,Kesejahteraan,,,,,tw3,176.0,54.0,3.2593,tercapai,1.9556,tercapai,False,
23,Jumlah dosen yang mendapatkan rekognisi internasional,162.0,34.0,35.0,22.0,34.0,0.0,17.0,77.0,49.0,125.0,98.0,125.0,162.0,0.0,belum,Jumlah dosen yang mendapatkan rekognisi internasional,Dosen,Peningkatan kualitas dosen,Direktorat Sumber Daya Manusia,SISTER,,naik,Kesejahteraan,,,,,tw3,125.0,98.0,1.2755,tercapai,0.7716,tertinggal,False,
24,Jumlah dosen tetap berkualifikasi akademik S3,160.0,41.0,43.0,39.0,37.0,0.0,156.0,160.0,157.0,160.0,159.0,160.0,160.0,0.0,tercapai,Jumlah dosen tetap berkualifikasi akademik S3,Dosen,Percepatan pertumbuhan dosen berkualifikasi S3,Direktorat Sumber Daya Manusia,STAFF SIMASTER [FS.26.24],THE,naik,Kesejahteraan,,,,,tw3,160.0,159.0,1.0063,tercapai,1.0,tercapai,False,
25,"Jumlah dosen memiliki sertifikat kompetensi/profesi/keterampilan yang diakui oleh dunia usaha, dunia industri, atau masyarakat",160.0,7.0,7.0,0.0,40.0,0.0,16.0,31.0,48.0,54.0,96.0,54.0,160.0,0.0,belum,"Jumlah dosen memiliki sertifikat kompetensi/profesi/keterampilan yang diakui oleh dunia usaha, dunia industri, atau masyarakat",Dosen,Pengembangan kompetensi dosen,Direktorat Sumber Daya Manusia,SISTER,,naik,Kesejahteraan,,,,,tw3,54.0,96.0,0.5625,tertinggal,0.3375,meleset,False,
26,"Jumlah dosen yang berasal dari kalangan praktisi profesional, dunia usaha, atau dunia industri",36.0,0.0,0.0,0.0,0.0,24.0,4.0,14.0,11.0,24.0,22.0,24.0,36.0,0.0,tercapai,"Jumlah dosen yang berasal dari kalangan praktisi profesional, dunia usaha, atau dunia industri",Dosen,Pengembangan kompetensi dosen,Direktorat Sumber Daya Manusia,STUDENT SIMASTER,IKU; THE,naik,Kesejahteraan,,,,,tw3,24.0,22.0,1.0909,tercapai,0.6667,tertinggal,False,
27,Jumlah dosen tetap tenaga pengajar,18.0,3.0,3.0,7.0,3.0,0.0,24.0,18.0,22.0,18.0,20.0,16.0,18.0,0.0,tercapai,Jumlah dosen tetap tenaga pengajar,Dosen,Pengembangan kompetensi dosen,Direktorat Sumber Daya Manusia,STAFF SIMASTER [FS.26.27],,turun,Kesejahteraan,,,,,tw3,16.0,20.0,1.25,tercapai,1.125,tercapai,False,
28,Jumlah dosen/peneliti internasional yang melaksanakan kegiatan pendidikan atau penelitian,160.0,,,,,171.0,16.0,65.0,48.0,111.0,96.0,171.0,160.0,0.0,tercapai,Jumlah dosen/peneliti internasional yang melaksanakan kegiatan pendidikan atau penelitian,Dosen,Peningkatan dosen/peneliti internasional,Satuan Penjaminan Mutu dan Reputasi Universitas,STAFF SIMASTER [FS.25.27],QS; THE,naik,Reputasi,,,,,tw3,171.0,96.0,1.7812,tercapai,1.0688,tercapai,False,
29,Jumlah dosen luar negeri yang berpotensi menjadi responden academic survey,360.0,,,,,171.0,36.0,65.0,108.0,111.0,216.0,171.0,360.0,0.0,tercapai,Jumlah dosen luar negeri yang berpotensi menjadi responden academic survey,Dosen,Peningkatan dosen/peneliti internasional,Satuan Penjaminan Mutu dan Reputasi Universitas,STAFF SIMASTER [FS.25.27],,naik,Reputasi,,,,,tw3,171.0,216.0,0.7917,tertinggal,0.475,meleset,False,
30,Jumlah Guru Besar,57.0,9.0,14.0,11.0,20.0,0.0,53.0,54.0,54.0,54.0,55.0,54.0,57.0,0.0,tercapai,Jumlah Guru Besar,Dosen,Percepatan Guru Besar yang relevan dengan bidang keilmuan,Direktorat Sumber Daya Manusia,STAFF SIMASTER [FS.25.29],THE,naik,Kesejahteraan,,,,,tw3,54.0,55.0,0.9818,mendekati,0.9474,mendekati,False,
31,Jumlah fasilitas disabilitas yang memenuhi persyaratan kemudahan bangunan gedung,20.0,0.0,0.0,0.0,0.0,23.0,17.0,21.0,18.0,23.0,19.0,23.0,20.0,0.0,tercapai,Jumlah fasilitas disabilitas yang memenuhi persyaratan kemudahan bangunan gedung,Unit,"Penguatan pembangunan infrastruktur UGM yang inklusif, berkelanjutan serta berbasis green environment",Satuan Penjaminan Mutu dan Reputasi Universitas; Direktorat Aset,Kompilasi Data,GREEN METRIC,naik,Kesejahteraan,,,,,tw3,23.0,19.0,1.2105,tercapai,1.15,tercapai,False,
32,Persentase kenaikan nilai hijau bangunan,10.0,0.0,0.0,0.0,0.0,-12.0,100.0,0.0,2.0,-12.0,5.0,-12.0,10.0,0.0,tercapai,Persentase kenaikan nilai hijau bangunan,Persen,"Penguatan pembangunan infrastruktur UGM yang inklusif, berkelanjutan serta berbasis green environment",Satuan Penjaminan Mutu dan Reputasi Universitas; Direktorat Aset,FINANCE SILAS [FS.25],,naik,Kesejahteraan,,,,,tw3,-12.0,5.0,-2.4,meleset,-1.2,meleset,False,capaian triwulan tidak kumulatif
